TOP.5ad9a820.000e1a7e	START
TOP.5b0fe59c.000be059	user_options->opencl_vector_width	0
TOP.5b0fe59c.000be059	user_options->optimized_kernel_enable	0
TOP.5b0fe59c.000be059	user_options->outfile_autohex	1
TOP.5b0fe59c.000be059	user_options->outfile_check_timer	5
TOP.5b0fe59c.000be059	user_options->outfile_format	3
TOP.5b0fe59c.000be059	user_options->wordlist_autohex_disable	0
TOP.5b0fe59c.000be059	user_options->potfile_disable	0
TOP.5b0fe59c.000be059	user_options->progress_only	0
TOP.5b0fe59c.000be059	user_options->quiet	0
TOP.5b0fe59c.000be059	user_options->remove	0
TOP.5b0fe59c.000be059	user_options->remove_timer	60
TOP.5b0fe59c.000be059	user_options->restore	0
TOP.5b0fe59c.000be059	user_options->restore_disable	0
TOP.5b0fe59c.000be059	user_options->restore_timer	60
TOP.5b0fe59c.000be059	user_options->rp_files_cnt	1
TOP.5b0fe59c.000be059	user_options->rp_gen	0
TOP.5b0fe59c.000be059	user_options->rp_gen_func_max	4
TOP.5b0fe59c.000be059	user_options->rp_gen_func_min	1
TOP.5b0fe59c.000be059	user_options->rp_gen_seed	0
TOP.5b0fe59c.000be059	user_options->runtime	0
TOP.5b0fe59c.000be059	user_options->scrypt_tmto	0
TOP.5b0fe59c.000be059	user_options->segment_size	33554432
TOP.5b0fe59c.000be059	user_options->self_test_disable	0
TOP.5b0fe59c.000be059	user_options->show	0
TOP.5b0fe59c.000be059	user_options->speed_only	0
TOP.5b0fe59c.000be059	user_options->status	0
TOP.5b0fe59c.000be059	user_options->status_timer	10
TOP.5b0fe59c.000be059	user_options->stdout_flag	0
TOP.5b0fe59c.000be059	user_options->usage	0
TOP.5b0fe59c.000be059	user_options->username	0
TOP.5b0fe59c.000be059	user_options->veracrypt_pim	0
TOP.5b0fe59c.000be059	user_options->version	0
TOP.5b0fe59c.000be059	user_options->workload_profile	2
TOP.5b0fe59c.000be059	hashes->hashfile	md5.txt
TOP.5b0fe59c.000be059	hashes->hashlist_mode	4
TOP.5b0fe59c.000be059	hashes->hashlist_format	0
TOP.5b0fe59c.000be059	hashes->hashes_cnt	0
TOP.5b0fe59c.000be059	hashes->digests_cnt	10
TOP.5b0fe59c.000be059	hashes->digests_done	0
TOP.5b0fe59c.000be059	hashes->salts_cnt	1
TOP.5b0fe59c.000be059	hashes->salts_done	0
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	START
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	straight_ctx->dict	password.lst
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	rulefile	rules\Incisive-leetspeak.rule
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	runtime_start	1527768517
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	runtime_stop	1527768544
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	status-after-work	5
TOP.5b0fe59c.000be059	SUB.5b0fe5c5.0004b71d	STOP
TOP.5b0fe59c.000be059	proc_start	1527768476
TOP.5b0fe59c.000be059	proc_stop	1527768557
TOP.5b0fe59c.000be059	STOP
TOP.5ca3a28a.000a4c2c	START
TOP.5ca3a28a.000a4c2c	user_options->separator	:
